가입일시,사용자코드,연령대코드,성별,가입 수
202301,회원-내국인,~10대,F," 1,096 "
202301,회원-내국인,20대,F," 2,006 "
202301,회원-내국인,30대,F, 961 
202301,회원-내국인,40대,F, 794 
202301,회원-내국인,50대,F, 479 
202301,회원-내국인,60대,F, 133 
202301,회원-내국인,70대이상,F, 20 
202301,회원-내국인,기타,F, 3 
202301,회원-내국인,~10대,M," 1,286 "
202301,회원-내국인,20대,M," 2,177 "
202301,회원-내국인,30대,M," 1,338 "
202301,회원-내국인,40대,M," 1,198 "
202301,회원-내국인,50대,M, 956 
202301,회원-내국인,60대,M, 408 
202301,회원-내국인,70대이상,M, 66 
202301,회원-내국인,기타,M, 21 
202302,회원-내국인,~10대,F," 2,381 "
202302,회원-내국인,20대,F," 4,804 "
202302,회원-내국인,30대,F," 2,069 "
202302,회원-내국인,40대,F," 1,652 "
202302,회원-내국인,50대,F, 890 
202302,회원-내국인,60대,F, 221 
202302,회원-내국인,70대이상,F, 36 
202302,회원-내국인,기타,F, 27 
202302,회원-내국인,~10대,M," 3,129 "
202302,회원-내국인,20대,M," 5,199 "
202302,회원-내국인,30대,M," 2,883 "
202302,회원-내국인,40대,M," 2,361 "
202302,회원-내국인,50대,M," 1,626 "
202302,회원-내국인,60대,M, 565 
202302,회원-내국인,70대이상,M, 97 
202302,회원-내국인,기타,M, 29 
202303,회원-내국인,~10대,F," 3,935 "
202303,회원-내국인,20대,F," 13,274 "
202303,회원-내국인,30대,F," 6,017 "
202303,회원-내국인,40대,F," 3,843 "
202303,회원-내국인,50대,F," 2,115 "
202303,회원-내국인,60대,F, 549 
202303,회원-내국인,70대이상,F, 92 
202303,회원-내국인,기타,F, 30 
202303,회원-내국인,~10대,M," 4,855 "
202303,회원-내국인,20대,M," 12,103 "
202303,회원-내국인,30대,M," 6,844 "
202303,회원-내국인,40대,M," 4,809 "
202303,회원-내국인,50대,M," 2,762 "
202303,회원-내국인,60대,M," 1,007 "
202303,회원-내국인,70대이상,M, 168 
202303,회원-내국인,기타,M, 53 
202304,회원-내국인,~10대,F," 4,059 "
202304,회원-내국인,20대,F," 14,946 "
202304,회원-내국인,30대,F," 7,549 "
202304,회원-내국인,40대,F," 4,819 "
202304,회원-내국인,50대,F," 2,490 "
202304,회원-내국인,60대,F, 670 
202304,회원-내국인,70대이상,F, 105 
202304,회원-내국인,기타,F, 32 
202304,회원-내국인,~10대,M," 5,140 "
202304,회원-내국인,20대,M," 13,204 "
202304,회원-내국인,30대,M," 8,619 "
202304,회원-내국인,40대,M," 5,748 "
202304,회원-내국인,50대,M," 3,175 "
202304,회원-내국인,60대,M," 1,192 "
202304,회원-내국인,70대이상,M, 214 
202304,회원-내국인,기타,M, 66 
202305,회원-내국인,~10대,F," 4,970 "
202305,회원-내국인,20대,F," 14,840 "
202305,회원-내국인,30대,F," 7,401 "
202305,회원-내국인,40대,F," 4,544 "
202305,회원-내국인,50대,F," 2,650 "
202305,회원-내국인,60대,F, 673 
202305,회원-내국인,70대이상,F, 116 
202305,회원-내국인,기타,F, 39 
202305,회원-내국인,~10대,M," 6,206 "
202305,회원-내국인,20대,M," 13,427 "
202305,회원-내국인,30대,M," 8,904 "
202305,회원-내국인,40대,M," 5,908 "
202305,회원-내국인,50대,M," 3,592 "
202305,회원-내국인,60대,M," 1,305 "
202305,회원-내국인,70대이상,M, 221 
202305,회원-내국인,기타,M, 60 
202306,회원-내국인,~10대,F," 3,761 "
202306,회원-내국인,20대,F," 12,411 "
202306,회원-내국인,30대,F," 6,307 "
202306,회원-내국인,40대,F," 4,368 "
202306,회원-내국인,50대,F," 2,322 "
202306,회원-내국인,60대,F, 615 
202306,회원-내국인,70대이상,F, 124 
202306,회원-내국인,기타,F, 39 
202306,회원-내국인,~10대,M," 4,923 "
202306,회원-내국인,20대,M," 11,694 "
202306,회원-내국인,30대,M," 7,983 "
202306,회원-내국인,40대,M," 5,734 "
202306,회원-내국인,50대,M," 3,583 "
202306,회원-내국인,60대,M," 1,305 "
202306,회원-내국인,70대이상,M, 236 
202306,회원-내국인,기타,M,68
